问题描述,归属模块,图像展示,负责人,重要程度,创建人,解决情况,验收结果,创建时间
小区审核页面“是否为房主”部分展示存在疑惑：用户点击自己为房主创建时提交的请求在物业端查看显示为不是户主,物业端,"Screen Recording 2026-01-03 at 01.23.56.mov,image.png",,严重紧急,杨兴辉,已解决，待审核,通过，任务关闭,2025/12/21
用户在已经绑定两个小区的情况下点击通过邀请码加入家庭仍能够进入对应流程，此部分需要有拦截UI，防止出现关联性bug,客户端,image.png,,严重紧急,杨兴辉,已解决，待审核,通过，任务关闭,2025/12/21
消费金发放：多用户发放上限设置应该也由管理端设置,物业端,image.png,,严重紧急,杨兴辉,无法复现,通过，任务关闭,2025/12/21
物业端不具备消费金手动发放能力,物业端,,,严重紧急,杨兴辉,已解决，待审核,通过，任务关闭,2025/12/21
下单界面“到自提点自提”部分应该为选择自提点，应该取消上方输入收货地址的设置,客户端,image.png,,严重紧急,杨兴辉,已解决，待审核,通过，任务关闭,2025/12/21
客户端结算完毕后购物车页面存在错误数据展示：商品消失但结算栏价格仍旧展示,客户端,image.png,,严重紧急,杨兴辉,已解决，待审核,通过，任务关闭,2025/12/21
消费金抵扣逻辑存在问题：应该优先抵扣临近过期的消费金,客户端,image.png,,严重紧急,杨兴辉,已解决，待审核,通过，任务关闭,2025/12/21
客户端子标签排序存在问题，用户不易找到子栏商品,客户端,image.png,,严重紧急,杨兴辉,已解决，待审核,通过，任务关闭,2025/12/21
消费完成后聚惠金未到账，无法进行后续测试,客户端,image.png,,严重紧急,杨兴辉,已解决，待审核,通过，任务关闭,2025/12/21
客户端购物车删除按键被商品名称文字遮挡,客户端,"image.png,image.png",,下一阶段待办,杨兴辉,已解决，待审核,通过，任务关闭,2025/12/21
商家端app执行提现操作页面未正确接入可提现的金额数据,商家端,mmexport1768822146932.mp4,,严重紧急,杨兴辉,已解决，待审核,待验收,2026/01/19
客户端绑定小区页面定位选择展示弱，用户交互体验差，不易找到定位操作触发交互&定位数据未与首页同步，需要用户额外操作,客户端,"image.png,image.png",,阶段性优先解决,杨兴辉,已解决，待审核,通过，任务关闭,2025/12/21
客户端小区绑定状态展示字段具有误导性，待审核的小区错误展示为“已绑定”，容易造成客户误判,客户端,image.png,,阶段性优先解决,杨兴辉,已解决，待审核,通过，任务关闭,2025/12/21
管理端手动发放消费金能力查看用户余额数据错误，应为真实数据，用户列表部分为正确的数据,管理端,"image.png,image.png",,严重紧急,杨兴辉,已解决，待审核,通过，任务关闭,2025/12/21
自提点选择用户体验弱，无法搜到对应小区的自提点,客户端,image.png,,阶段性优先解决,杨兴辉,已解决，待审核,通过，任务关闭,2025/12/21
商户管理重置密码显示参数错误,管理端,image.png,,阶段性优先解决,杨兴辉,已解决，待审核,通过，任务关闭,2025/12/21
订单详情中没有收货人信息,商家端,image.png,,阶段性优先解决,杨兴辉,已解决，待审核,通过，任务关闭,2025/12/21
订单详情的实付款金额显示错误，容易引起用户误判,客户端,image.png,,阶段性优先解决,杨兴辉,已解决，待审核,通过，任务关闭,2025/12/21
分账任务自动执行失败，此功能需要进行修复，报错信息：[Invalid `tx.propertyBusinessAccount.update()` invocation in /root/3523/backend/owner-platform/src/modules/profit-sharing/profit-sharing-task.service.ts:1017:40 1014 } 1015 1016 const newBalance = Number(businessAccount.balance) + pickupAmount; → 1017 await tx.propertyBusinessAccount.update( An operation failed because it depends on one or more records that were required but not found. Record to update not found.],管理端,"image.png,image.png",,严重紧急,杨兴辉,已解决，待审核,通过，任务关闭,2025/12/22
用户聚惠金数额错配（存在余额为0的情况下累计发放不等于累计使用的问题），聚惠金管理存在大量信息错误，相关任务已驳回，详情请看视频。2026年1月10日问题已与其他聚惠金问题合并，该任务关闭。,管理端,"Screen Recording 2026-01-05 at 14.14.44.mov,20251231-0316-32.7733397.mp4,image.png",,严重紧急,杨兴辉,已解决，待审核,通过，任务关闭,2025/12/22
专管账户聚惠金存在负值，需要检查逻辑,管理端,image.png,,严重紧急,杨兴辉,已解决，待审核,通过，任务关闭,2025/12/22
商家聚惠金冻结金额存在复数，存在明显数据安全漏洞,管理端,image.png,,严重紧急,杨兴辉,已解决，待审核,通过，任务关闭,2025/12/22
聚惠金管理存在过多异常预警，且异常处理操作默认为点击即处理完毕，存在安全风险。2026年1月10日：已成功解决绝大多数错误，但聚惠金托管账户对账仍报错，同时风险处置完毕后要展示处理信息和处理时间以供管理员回溯[详情请查看附件前两个图片和视频]。,管理端,"Screen Recording 2026-01-12 at 02.13.50.mov,1768052725501.jpg,20260110-1351-04.0484643.mp4,Screen Recording 2026-01-01 at 02.31.16.mov,image.png,image.png",,严重紧急,杨兴辉,已解决，待审核,通过，任务关闭,2025/12/22
商户端删除商品以后管理端删除商品触发报错，商品无法正常删除[可能和商品曾经有过订单有关，其他无订单商品可以随意删除],管理端,image.png,,严重紧急,杨兴辉,已解决，待审核,通过，任务关闭,2025/12/22
商品一键导入字段适配[需要处理jason解码问题（尤其是多规格情况下示例表格无法实现超过两个规格的情况），对csv不存在的字段设置为门店端UI输入],商家端,"商品批量导入模板1 的副本.xlsx,image.png",,严重紧急,杨兴辉,已解决，待审核,待验收,2025/12/22
注册流程经营类目杂乱，需要移除不应出现的类型（比如物业公司和自提点），并为对应的端口设置相匹配的注册流程,"商家端, 物业端, 自提点端, 骑手端",image.png,,严重紧急,杨兴辉,已解决，待审核,通过，任务关闭,2025/12/22
聚惠金设置体验差，建议进行详细的说明（如默认所有商品全额抵扣还是可选商品，这里不选择后面入驻以后能不能选择）.2026年1月12日：二次驳回，请写明“这里选择不开启的话后面入驻以后能不能选择开启，如何开启”,商家端,image.png,,严重紧急,杨兴辉,已解决，待审核,通过，任务关闭,2025/12/22
系统设置中的“二金配置”没有设置正确的数据展示,管理端,image.png,,阶段性优先解决,杨兴辉,已解决，待审核,通过，任务关闭,2025/12/22
商家端删除商品后管理平台商品未删除/隐藏,商家端,image.png,,阶段性优先解决,杨兴辉,已解决，待审核,通过，任务关闭,2025/12/22
管理端删除商品商家端同样无法同步删除/隐藏[可能为数据库表单未同步问题],管理端,image.png,,阶段性优先解决,杨兴辉,已解决，待审核,通过，任务关闭,2025/12/22
商家端查询分账记录输入日期范围后返回空数据,商家端,20251222-0333-17.3819077.mp4,,阶段性优先解决,杨兴辉,无法复现,通过，任务关闭,2025/12/22
商户注册流程行政区号查询繁琐，需要进行优化,商家端,image.png,,阶段性优先解决,杨兴辉,已解决，待审核,通过，任务关闭,2025/12/22
商铺简介在后端为必选项，但是前端没有进行必填标识,商家端,image.png,,阶段性优先解决,杨兴辉,已解决，待审核,通过，任务关闭,2025/12/22
物业端消费金发放需要添加消费金过期规则的设置，方便物业用户应对不同的情况,物业端,"Screen Recording 2026-01-03 at 01.51.32.mov,049050c6e1bf73c4fe772d3a59a7cc9.png",,严重紧急,杨兴辉,已解决，待审核,通过，任务关闭,2025/12/23
物业端消费金超额发放规则错误：针对单个用户消费金周期内累计发放若超过设定的最大值则应将超出部分视作超额发放消费金，若使用现有逻辑需要与客户二次确认,物业端,"Screen Recording 2026-01-04 at 00.11.54.mov,43b6e5490b7709a4ef715a494b11a9d.png",,严重紧急,杨兴辉,已解决，待审核,通过，任务关闭,2025/12/23
