问题描述,归属模块,图像展示,负责人,重要程度,创建人,解决情况,验收结果,创建时间
超值拼团板块卡片交互无响应且点击更多后内外层级商品数量和内容明显不一致,客户端,image.png,,等待排期,杨兴辉,未解决,待验收,2025/12/23
超值拼团板块似乎没有进行商品的地域划分，可能导致用户跨区域下单的问题,客户端,,,等待排期,杨兴辉,未解决,待验收,2025/12/23
客户端帖子部分评论无法正常展示,客户端,image.png,,等待排期,杨兴辉,未解决,待验收,2025/12/23
商品上架还涉及“条码”问题，应该可以输入条码，订单可以调取商品条码，方便商家分货；这个先记录一下，明年再优化,,,,等待排期,杨兴辉,未解决,待验收,2025/12/30
所有端口APP均需要有忘记密码重置功能，并在MVP后的S1版本（即最终验收版本）手机号验证码方式认证,"客户端, 物业端, 商家端, 骑手端, 自提点端",,,等待排期,杨兴辉,未解决,待验收,2026/01/08
无效数据全部清空（数据看板全部要对应上）【此操作等待所有功能点bug验收通过后进行】,管理端,,,,飞书用户9544WS,未解决,待验收,2026/01/22
"个人中心的关于我们，需要向用户展示协议，官方要求，后台需要可配置协议上传的地方，协议内容包括各方合作伙伴申请合作时候的阅读并同意签署协议，还有向用户展示的协议都有地方上传
注：需要可上传文档，现在只能文字类型，用户展示的排版不对，另需要各方入住时间确认签署，并且各端可查看签署的文件",,ad5ad2c8659b7f9b9fa9084f86ac894.png,,阶段性优先解决,飞书用户9544WS,未解决,驳回，需要重新修改,2026/01/27
一键微信名称，头像，电话同步授权，简便用户操作   注：现在太复杂了，基本用户不选择头像及填写名称，需要简化及突出需要点击的地方颜色区分,,,,等待排期,飞书用户9544WS,未解决,驳回，需要重新修改,2026/01/27
商品生成二维码，商家打印商品二维码，用户扫码订单快速下单付款现场带走（不通过配送流程直接到达核销）？,,,,等待排期,飞书用户9544WS,未解决,待验收,2026/01/28
"加急增加工单：客户这边对于客户端下单界面，需要新增一个限购功能，要求对每一个商品能够设置单个账号在特定周期内（比如每周/每日/每月）能够购买的数量。
同时需要对规格进行定制化限制：如a规格，每月限购一份，b规格每月限购三份。如果满足其中一个规格限制，则另一规格无法购买（达到商家亏钱影流品的限购目的）",,,,等待排期,飞书用户9544WS,未解决,待验收,2026/01/31
查看凯源百货的微信商家助手提现限制（需要知道什么情况怎么样解决）可以交易但是不能提现？,,,,重要紧急,飞书用户9544WS,未解决,待验收,2026/03/17
合作伙伴app功能需要补齐订单接单发货，分账，提现，数据看板要易看易操作功能与网页端的同步，合作申请进去填写资料界面可以省略不必要的环节与页面，直接一个页面搞定，图1：合作伙伴需要直接显示下载APP的二维码（告知可以浏览器扫码或者微信直接扫码跳转到安装步骤）需要完成地推端,,image.png,,重要紧急,飞书用户9544WS,未解决,待验收,2026/03/17
外卖需要帮测试，现骑手端任然不能顺畅跳单接单（骑手端需要分配送单与闪送单），达到外卖板块能够正常使用。,,,,重要紧急,飞书用户9544WS,未解决,待验收,2026/03/17
产品及服务链接，或者板块分类ID，需要数字标识，按顺序来最好（图片中我配置时候找不到分类ID），（管理端缺少订单号，手机号，自提点等配置搜索）遇到问题难以查找处理,,"image.png,image.png",,重要紧急,飞书用户9544WS,未解决,待验收,2026/03/17
优化用户登录的便捷性、一键性，合作伙伴APP登录、注册、操作细节便捷性、简单易用，现在太复杂，部分功能没有或者重复需要优化。,,,,重要紧急,飞书用户9544WS,未解决,待验收,2026/03/17
"自提点消费金发放，还是要自提点后台配置？与管理端不同步,需解决。 分润显示可以按照实际来或者就显示自提点佣金就行，防止误导合作伙伴",,"image.png,image.png",,重要紧急,飞书用户9544WS,未解决,待验收,2026/03/20
用户下单自提点可及时看到订单（团购的商家单品可一键全订单发货，自提点可在商家未点击发货也可及时收货与核销，那么其他端自动操作完成，骑手端的配置默认指定一个内部账号）,,,,重要紧急,飞书用户9544WS,未解决,待验收,2026/03/20
个体户进件自提点错误进不去后台，请检查原因，告知原因及解决办法,,"a392d10985058ae49b5574a6858c240.png,665bbdc24b32d1d4c41ca4f60bcef42.png",,严重紧急,飞书用户9544WS,未解决,待验收,2026/03/23
